province;zs;202006;202007;202008;202009;202010;202011;202012;202101;202102;202103;202104;202105;202106;202107;202108;202109;;;;
Sud-Kivu;Bagira;;X;X;X;;;;;;;;;;;;;;;;
Sud-Kivu;Bunyakiri;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;<;
Sud-Kivu;Fizi;;;;;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Hauts-Plateaux;;;;X;X;;;;;X;;X;X;X;;X;;;;<
Sud-Kivu;Ibanda;;;X;X;;;;;;;;;X;;;;;;;
Sud-Kivu;Idjwi;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;
Sud-Kivu;Itombwe;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kabare;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kadutu;;;;;;;;;;;;;X;;;;;;;
Sud-Kivu;Kalehe;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;;;;
Sud-Kivu;Kalole;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kalonge;;;;;;;;;;;;;X;;;;;;;
Sud-Kivu;Kamituga;;;;;;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kaniola;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Katana;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kaziba;;;;;;;X;X;X;X;X;X;X;X;;X;;;;
Sud-Kivu;Kimbi Lulenge;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Kitutu;;;;X;X;X;X;X;;X;X;X;X;X;X;X;;;;
Sud-Kivu;Lemera;;;;;;;;;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Lulingu;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Minembwe;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Minova;X;;;;;;;;;;;X;X;;;;;;;
Sud-Kivu;Miti-Murhesa;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Mubumbano;;;;;;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Mulungu;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;;;
Sud-Kivu;Mwana;;;;;;;;;;;;X;X;X;;X;;;;
Sud-Kivu;Mwenga;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Sud-Kivu;Nundu;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Nyangezi;;;;;;;;;;;;;;;;;;;;
Sud-Kivu;Nyantende;;;;;;;;;;X;X;X;X;X;;;;;;
Sud-Kivu;Ruzizi;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Shabunda;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Uvira;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;
Sud-Kivu;Walungu;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Ankoro;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Kabalo;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Kalemie;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Kansimba;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Kiyambi;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Kongolo;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Manono;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Mbulula;;;;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Moba;X;;;;;;X;X;X;X;X;X;X;;X;X;;;;
Tanganyika;Nyemba;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;;;;
Tanganyika;Nyunzu;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;;;
Nord-Kivu;Alimbongo;;;;;;;;;;X;X;;X;;;;;;;
Nord-Kivu;Bambo;;;;;;;;;;;X;;X;X;X;X;;;;
Nord-Kivu;Beni;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Biena;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Binza;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Birambizo;;;;;;;;;;X;X;X;X;X;;X;;;;
Nord-Kivu;Butembo;;;;;;;;;;X;X;;X;X;X;;;;;
Nord-Kivu;Goma;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Itebero;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Kalunguta;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Kamango;;;;;;;;;;;;;;;X;X;;;;
Nord-Kivu;Karisimbi;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Katoyi;;;;;;;;;;;;;;;;X;;;;
Nord-Kivu;Katwa;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Kayna;;;;;;;;;;X;X;X;X;X;;X;;;;
Nord-Kivu;Kibirizi;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Kibua;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Kirotshe;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Kyondo;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Lubero;;;;;;;;;;;;;;;;X;;;;
Nord-Kivu;Mabalako;;;;;;;;;;;;;;X;X;X;;;;
Nord-Kivu;Manguredjipa;;;;;;;;;;;;;;;X;X;;;;
Nord-Kivu;Masereka;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Masisi;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Musienene;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Mutwanga;;;;;;;;;;;X;;X;X;X;X;;;;
Nord-Kivu;Mweso;;;;;;;;;;X;X;;X;;;;;;;
Nord-Kivu;Nyiragongo;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Oicha;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Pinga;;;;;;;;;;X;X;X;X;X;X;X;;;;
Nord-Kivu;Rutshuru;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Rwanguba;;;;;;;;;;;;;;;;;;;;
Nord-Kivu;Vuhuvi;;;;;;;;;;;;;X;;;;;;;
Nord-Kivu;Walikale;;;;;;;;;;X;X;X;X;X;X;X;;;;
